	109	111
r5.greek.j.02701	1	1
r5.greek.j.02702	1	1
r5.greek.j.02703	1	1
r5.greek.j.02704	1	1
r5.greek.j.02705	1	46
r5.greek.j.02706	1	1
r5.greek.j.02707	1	1
r5.greek.j.02708	1	1
r5.greek.j.02709	1	1
r5.greek.j.02710	1	1
r5.greek.j.02711	1	1
r5.greek.j.02712	1	1
r5.greek.j.02713	1	1
r5.greek.j.02714	1	1
r5.greek.j.02715	1	1
r5.greek.j.02716	1	1
r5.greek.j.02717	1	1
r5.greek.j.02718	1	1
r5.greek.j.02719	45	1
r5.greek.j.02720	1	1
r5.greek.j.02721	1	1
r5.greek.j.02722	1	1
r5.greek.j.02723	1	1
r5.greek.j.02724	1	1
r5.greek.j.02725	1	1
r5.greek.j.02726	1	1
r5.greek.j.02727	1	1
r5.greek.j.02728	1	1
r5.greek.j.02729	1	1
r5.greek.j.02730	1	1
r5.greek.j.02731	1	1
r5.greek.j.02732	1	1
r5.greek.j.02733	1	1
r5.greek.j.02734	1	1
r5.greek.j.02735	1	1
r5.greek.j.02736	1	1
r5.greek.j.02737	1	1
r5.greek.j.02738	1	1
r5.greek.j.02739	1	1
r5.greek.j.02740	1	1
r5.greek.j.02741	1	1
r5.greek.j.02742	1	1
r5.greek.j.02743	1	1
r5.greek.j.02744	1	1
r5.greek.j.02745	1	1
r5.greek.j.02746	1	1
r5.greek.j.02747	1	1
r5.greek.j.02748	1	1
r5.greek.j.02749	1	1
r5.greek.j.02750	1	1
r5.greek.j.02751	1	1
r5.greek.j.02752	1	1
r5.greek.j.02753	1	1
r5.greek.j.02754	1	1
r5.greek.j.02755	1	1
r5.greek.j.02756	1	1
r5.greek.j.02757	1	1
r5.greek.j.02758	1	1
r5.greek.j.02759	1	1
r5.greek.j.02760	1	1
r5.greek.j.02761	1	1
r5.greek.j.02762	1	1
r5.greek.j.02763	1	1
r5.greek.j.02765	1	1
r5.greek.j.02766	1	1
r5.greek.j.02767	1	1
r5.greek.j.02768	1	1
r5.greek.j.02769	1	1
r5.greek.j.02770	1	1
r5.greek.j.02771	1	1
r5.greek.j.02772	1	1
r5.greek.j.02773	1	1
r5.greek.j.02774	1	1
r5.greek.j.02775	1	1
r5.greek.j.02776	1	1
r5.greek.j.02777	1	1
r5.greek.j.02778	1	1
r5.greek.j.02779	1	1
r5.greek.j.02780	1	1
r5.greek.j.02781	1	1
r5.greek.j.02782	1	1
r5.greek.j.02783	1	1
r5.greek.j.02784	1	1
r5.greek.j.02785	1	1
r5.greek.j.02786	1	1
r5.greek.j.02787	1	1
r5.greek.j.02788	1	1
r5.greek.j.02789	1	1
r5.greek.j.02790	1	1
r5.greek.j.02791	1	1
r5.greek.j.02792	1	1
r5.greek.j.02793	1	1
r5.greek.j.02794	1	1
r5.greek.j.02795	1	1
r5.greek.j.02796	1	1
r5.greek.j.02797	1	1
r5.greek.j.02798	1	1
r5.greek.j.02799	1	1
r5.greek.j.02800	1	45
r5.greek.j.02801	1	1
r5.greek.j.02802	45	45
r5.greek.j.02803	1	1
r5.greek.j.02805	1	1
r5.greek.j.02806	1	1
r5.greek.j.02807	1	1
r5.greek.j.02808	1	1
r5.greek.j.02809	1	1
r5.greek.j.02810	1	1
r5.greek.j.02811	1	1
r5.greek.j.02812	1	1
r5.greek.j.02813	1	1
r5.greek.j.02814	1	1
r5.greek.j.02815	1	1
r5.greek.j.02816	1	1
r5.greek.j.02817	1	1
r5.greek.j.02818	1	1
r5.greek.j.02819	1	1
r5.greek.j.02820	1	1
r5.greek.j.02821	1	1
r5.greek.j.02822	1	1
r5.greek.j.02823	1	1
r5.greek.j.02825	1	1
r5.greek.j.02826	1	1
r5.greek.j.02827	1	1
r5.greek.j.02828	1	1
r5.greek.j.02829	1	1
r5.greek.j.02830	1	1
r5.greek.j.02831	1	1
r5.greek.j.02832	1	1
r5.greek.j.02833	1	1
r5.greek.j.02834	1	1
r5.greek.j.02835	1	1
r5.greek.j.02836	1	1
r5.greek.j.02837	1	1
r5.greek.j.02838	1	1
r5.greek.j.02839	1	1
r5.greek.j.02840	1	1
r5.greek.j.02841	1	1
r5.greek.j.02842	1	1
r5.greek.j.02843	1	1
r5.greek.j.02844	1	1
r5.greek.j.02845	1	1
r5.greek.j.02846	1	1
r5.greek.j.02847	1	1
r5.greek.j.02848	1	1
r5.greek.j.02849	1	1
r5.greek.j.02850	1	1
r5.greek.j.02851	1	1
r5.greek.j.02852	1	1
r5.greek.j.02853	1	1
r5.greek.j.02855	1	1
r5.greek.j.02856	1	1
r5.greek.j.02857	1	1
r5.greek.j.02858	1	1
r5.greek.j.02859	1	1
r5.greek.j.02860	1	1
r5.greek.j.02861	45	45
r5.greek.j.02862	1	1
r5.greek.j.02863	1	1
r5.greek.j.02864	1	1
r5.greek.j.02865	1	1
r5.greek.j.02866	1	1
r5.greek.j.02867	1	1
r5.greek.j.02868	1	1
r5.greek.j.02869	45	45
r5.greek.j.02870	1	1
r5.greek.j.02871	1	1
r5.greek.j.02872	45	45
r5.greek.j.02873	1	1
r5.greek.j.02874	1	1
r5.greek.j.02875	1	1
r5.greek.j.02876	1	1
r5.greek.j.02877	1	1
r5.greek.j.02878	1	1
r5.greek.j.02879	1	1
r5.greek.j.02880	1	46
r5.greek.j.02881	1	1
r5.greek.j.02882	1	1
r5.greek.j.02883	1	1
r5.greek.j.02884	1	1
r5.greek.j.02885	1	1
r5.greek.j.02886	1	1
r5.greek.j.02887	1	1
r5.greek.j.02888	1	1
r5.greek.j.02889	1	1
r5.greek.j.02890	1	1
r5.greek.j.02891	45	1
r5.greek.j.02892	1	1
r5.greek.j.02893	1	1
r5.greek.j.02894	1	1
r5.greek.j.02895	1	1
r5.greek.j.02896	1	1
r5.greek.j.02897	1	1
r5.greek.j.02898	1	1
r5.greek.j.02899	1	1
r5.greek.j.02900	1	1
r5.greek.j.02901	1	1
r5.greek.j.02902	1	1
r5.greek.j.02903	1	1
r5.greek.j.02904	1	1
r5.greek.j.02905	1	1
r5.greek.j.02906	1	1
r5.greek.j.02907	1	1
r5.greek.j.02908	1	1
r5.greek.j.02909	1	1
r5.greek.j.02910	1	1
r5.greek.j.02911	1	1
r5.greek.j.02912	1	1
r5.greek.j.02913	1	1
r5.greek.j.02914	1	1
r5.greek.j.02915	1	1
r5.greek.j.02916	1	1
r5.greek.j.02917	1	1
r5.greek.j.02918	1	1
r5.greek.j.02919	45	1
r5.greek.j.02920	45	1
