	109	111
r5.force.n.01961	47	4
r5.force.n.01964	2	2
r5.force.n.01970	2	2
r5.force.n.01994	2	2
r5.force.n.01998	2	1
r5.force.n.02002	3	2
r5.force.n.02003	2	3
r5.force.n.02004	2	1
r5.force.n.02008	3	2
r5.force.n.02038	6	3
r5.force.n.02056	47	4
r5.force.n.02057	47	4
r5.force.n.02061	7	1
r5.force.n.02069	1	1
r5.force.n.02077	2	2
r5.force.n.02078	1	1
r5.force.n.02086	47	9
r5.force.n.02091	5&&8	5
r5.force.n.02094	5	5
r5.force.n.02095	8	5
r5.force.n.02097	5	5
r5.force.n.02105	5	5
r5.force.n.02110	5	5
r5.force.n.02111	5	5
r5.force.n.02112	5	7
r5.force.n.02114	5	46
r5.force.n.02115	5	6
r5.force.n.02116	5	5
r5.force.n.02117	5	5
r5.force.n.02118	5	5
r5.force.n.02128	5	5
r5.force.n.02131	6	1
r5.force.n.02132	47	5
r5.force.n.02134	1&&5	5
r5.force.n.02136	1&&7	8
r5.force.n.02138	5	5
r5.force.n.02145	8	8
r5.force.n.02148	5	5
r5.force.n.02151	5	5
r5.force.n.02153	46	46
r5.force.n.02159	1&&7	7
r5.force.n.02162	5	5
r5.force.n.02165	1&&7	7
r5.force.n.02168	5	5
r5.force.n.02170	47	47
r5.force.n.02181	5	5
r5.force.n.02182	1&&3	3
r5.force.n.02188	6	6
r5.force.n.02194	5	5
r5.force.n.02200	47	46
r5.force.n.02201	5	5
r5.force.n.02203	5	5
r5.force.n.02208	5	5
r5.force.n.02216	5	5
r5.force.n.02219	5	5
r5.force.n.02225	5	5
r5.force.n.02226	5	5
r5.force.n.02228	1	1
r5.force.n.02231	6	6
r5.force.n.02232	5	5
r5.force.n.02233	5	5
r5.force.n.02238	4&&8	7
r5.force.n.02243	5	5
r5.force.n.02249	5	5
r5.force.n.02262	5	5
r5.force.n.02264	8	5
r5.force.n.02265	5	5
r5.force.n.02274	5	5
r5.force.n.02277	5	5
r5.force.n.02278	5	5
r5.force.n.02286	47	47
r5.force.n.02296	47	46
r5.force.n.02297	1&&3	1
r5.force.n.02299	8	1
r5.force.n.02302	5	5
