	109	111
r5.become.v.00574	2	2
r5.become.v.00575	1	1
r5.become.v.00576	2	2
r5.become.v.00577	2	2
r5.become.v.00578	2	2
r5.become.v.00580	2	2
r5.become.v.00581	2	2
r5.become.v.00582	2	2
r5.become.v.00583	2	2
r5.become.v.00585	3	2
r5.become.v.00587	2	2
r5.become.v.00589	1	2
r5.become.v.00591	2	2
r5.become.v.00592	2	2
r5.become.v.00594	2	2
r5.become.v.00597	1	2
r5.become.v.00598	1	1
r5.become.v.00599	2	2
r5.become.v.00600	1	2
r5.become.v.00601	1	1
r5.become.v.00603	1	2
r5.become.v.00604	2	2
r5.become.v.00605	1	1
r5.become.v.00606	2	2
r5.become.v.00613	1	2
r5.become.v.00617	1	2
r5.become.v.00619	1	2
r5.become.v.00621	1	2
r5.become.v.00622	2	2
r5.become.v.00623	2	2
r5.become.v.00624	1	2
r5.become.v.00625	1	2
r5.become.v.00628	2	1
r5.become.v.00629	2	2
r5.become.v.00631	1	2
r5.become.v.00635	2	2
r5.become.v.00648	2	2
r5.become.v.00652	2	2
r5.become.v.00656	1	1
r5.become.v.00662	1	1
r5.become.v.00666	2	2
r5.become.v.00668	2	2
r5.become.v.00672	2	2
r5.become.v.00674	1	1
r5.become.v.00677	2	2
r5.become.v.00679	2	2
r5.become.v.00680	2	2
r5.become.v.00686	2	2
r5.become.v.00697	2	2
r5.become.v.00699	2	2
r5.become.v.00701	2	2
r5.become.v.00703	2	2
r5.become.v.00705	2	2
r5.become.v.00706	2	2
r5.become.v.00707	1	2
r5.become.v.00710	1	2
r5.become.v.00712	2	2
r5.become.v.00714	2	2
r5.become.v.00719	1	1
r5.become.v.00720	2	2
r5.become.v.00721	1	1
r5.become.v.00722	1	1
r5.become.v.00723	1	1
r5.become.v.00727	1	2
r5.become.v.00730	1	1
r5.become.v.00731	1	2
r5.become.v.00733	2	2
r5.become.v.00741	2	2
r5.become.v.00742	2	2
r5.become.v.00744	1	2
r5.become.v.00745	1	1
r5.become.v.00747	2	2
r5.become.v.00751	1	1
r5.become.v.00756	2	2
r5.become.v.00763	2	2
r5.become.v.00764	2	2
r5.become.v.00766	1	1
r5.become.v.00768	1	1
r5.become.v.00770	2	2
r5.become.v.00774	1	1
r5.become.v.00778	2	2
r5.become.v.00779	2	2
r5.become.v.00781	1	1
r5.become.v.00782	1	2
r5.become.v.00788	2	2
r5.become.v.00793	1	2
r5.become.v.00795	1	1
r5.become.v.00797	3	2
r5.become.v.00800	1	2
r5.become.v.00801	2	2
r5.become.v.00802	1	2
r5.become.v.00803	1	2
r5.become.v.00805	1	2
r5.become.v.00806	1	1
r5.become.v.00807	1	2
r5.become.v.00813	1	1
r5.become.v.00817	2	2
r5.become.v.00820	1	1
r5.become.v.00821	2	2
r5.become.v.00824	2	2
r5.become.v.00826	2	2
r5.become.v.00827	1	1
r5.become.v.00833	2	2
r5.become.v.00836	1	1
r5.become.v.00840	1	1
r5.become.v.00842	1	1
r5.become.v.00848	1	1
r5.become.v.00855	1	2
r5.become.v.00856	1	2
r5.become.v.00860	2	2
r5.become.v.00862	2	2
r5.become.v.00865	1	2
r5.become.v.00867	2	2
r5.become.v.00868	2	2
r5.become.v.00869	1	1
r5.become.v.00870	1	2
r5.become.v.00871	1	1
r5.become.v.00872	1	2
r5.become.v.00873	1	1
r5.become.v.00874	1	2
r5.become.v.00875	2	2
r5.become.v.00876	2	2
r5.become.v.00877	2	2
r5.become.v.00878	2	2
r5.become.v.00879	1	1
r5.become.v.00881	2	2
r5.become.v.00882	2	2
r5.become.v.00884	1	1
r5.become.v.00885	1	1
r5.become.v.00888	1	1
r5.become.v.00889	1	2
r5.become.v.00890	1	2
r5.become.v.00892	2	2
r5.become.v.00893	2	2
r5.become.v.00896	2	2
r5.become.v.00898	1	1
r5.become.v.00899	1	1
r5.become.v.00901	2	1
r5.become.v.00902	1	1
r5.become.v.00903	1	1
r5.become.v.00905	1	1
r5.become.v.00906	1	1
r5.become.v.00911	1	2
r5.become.v.00913	1	2
r5.become.v.00914	1	2
r5.become.v.00917	1	1
r5.become.v.00919	1	1
r5.become.v.00920	1	2
r5.become.v.00922	1	2
r5.become.v.00923	1	1
r5.become.v.00924	1	1
r5.become.v.00925	2	2
r5.become.v.00926	1	1
r5.become.v.00927	1	2
r5.become.v.00929	1	1
r5.become.v.00930	1	1
r5.become.v.00931	1	1
r5.become.v.00932	1	2
r5.become.v.00933	1	1
r5.become.v.00935	1	2
r5.become.v.00936	1	2
r5.become.v.00937	1	1
r5.become.v.00938	2	2
r5.become.v.00940	2	2
r5.become.v.00942	1	2
r5.become.v.00943	1	1
r5.become.v.00944	1	1
r5.become.v.00945	1	1
r5.become.v.00946	2	2
r5.become.v.00948	1	1
r5.become.v.00950	1	1
r5.become.v.00951	1	1
r5.become.v.00952	2	2
r5.become.v.00953	1	1
r5.become.v.00955	1	1
r5.become.v.00957	2	2
r5.become.v.00958	1	2
r5.become.v.00959	1	1
r5.become.v.00961	1	2
r5.become.v.00962	1	1
r5.become.v.00964	1	2
r5.become.v.00965	2	2
r5.become.v.00966	1	1
r5.become.v.00967	1	1
r5.become.v.00968	1	1
r5.become.v.00969	2	2
r5.become.v.00972	2	2
r5.become.v.00975	1	2
r5.become.v.00978	1	1
r5.become.v.00980	3	2
r5.become.v.00982	2	2
r5.become.v.00985	2	2
r5.become.v.00986	1	1
r5.become.v.00987	1	1
r5.become.v.00988	2	2
r5.become.v.00990	1	2
r5.become.v.00991	1	1
r5.become.v.00992	1	1
r5.become.v.00993	1	1
r5.become.v.00994	2	2
r5.become.v.00995	1	2
r5.become.v.00996	1	1
r5.become.v.00997	2	2
r5.become.v.00999	1	1
r5.become.v.01000	2	2
r5.become.v.01001	1	1
r5.become.v.01004	2	2
r5.become.v.01005	1	1
r5.become.v.01006	1	2
r5.become.v.01009	2	2
r5.become.v.01012	1	2
r5.become.v.01014	1	2
r5.become.v.01015	1&&2	2
r5.become.v.01016	2	2
r5.become.v.01018	1	2
r5.become.v.01020	2	2
r5.become.v.01021	2	2
r5.become.v.01022	2	2
r5.become.v.01023	2	2
r5.become.v.01024	2	2
r5.become.v.01034	2	2
r5.become.v.01037	2	2
r5.become.v.01038	2	2
r5.become.v.01045	2	2
r5.become.v.01046	2	2
r5.become.v.01050	1	2
r5.become.v.01051	1	1
r5.become.v.01054	1	1
r5.become.v.01059	2	2
r5.become.v.01064	1	1
r5.become.v.01073	2	2
r5.become.v.01075	2	2
r5.become.v.01079	2	2
r5.become.v.01080	2	2
r5.become.v.01084	1	1
r5.become.v.01088	2	2
r5.become.v.01091	2	2
r5.become.v.01093	2	2
r5.become.v.01094	2	2
r5.become.v.01095	1	1
r5.become.v.01098	2	2
r5.become.v.01101	2	2
r5.become.v.01106	2	2
r5.become.v.01110	2	2
r5.become.v.01111	2	2
r5.become.v.01121	1	1
r5.become.v.01125	2	2
r5.become.v.01129	2	2
r5.become.v.01135	2	2
r5.become.v.01136	2	2
r5.become.v.01138	2	2
r5.become.v.01139	2	2
r5.become.v.01140	2	2
r5.become.v.01144	2	2
r5.become.v.01145	1	1
r5.become.v.01148	2	2
r5.become.v.01151	2	2
r5.become.v.01154	2	2
r5.become.v.01155	1	1
r5.become.v.01156	2	2
r5.become.v.01159	2	2
